"Counter","Suggested threshold","Comment"
"\Hyper-V Hypervisor Virtual Processor(*)\% Guest Run Time","",""
"\Hyper-V Hypervisor Virtual Processor(*)\% Hypervisor Run Time","",""
"\Hyper-V Hypervisor Virtual Processor(*)\% Total Run Time","",""
"\Hyper-V Virtual Switch(*)\Packets Sent/sec","",""
"\Hyper-V Virtual Switch(*)\Packets Received/sec","",""
"\Hyper-V Virtual Switch(*)\Bytes Sent/sec","",""
"\Hyper-V Virtual Switch(*)\Bytes Received/sec","",""
"\Cluster CSV File System(*)\Flushes/sec","",""
"\Cluster CSV File System(*)\Writes/sec","",""
"\Cluster CSV File System(*)\Reads/sec","",""
"\Cluster CSV File System(*)\Write Latency","",""
"\Cluster CSV File System(*)\Read Latency","",""
"\Cluster CSV File System(*)\Redirected Read Bytes/sec","",""
"\Cluster CSV File System(*)\Redirected Write Bytes/sec","",""
"\Cluster CSV File System(*)\Read Queue Length","",""
"\Cluster CSV File System(*)\Write Queue Length","",""
"\Hyper-V Virtual Storage Device(*)\Write Bytes/sec","",""
"\Hyper-V Virtual Storage Device(*)\Read Bytes/sec","",""
"\Hyper-V Virtual Storage Device(*)\Latency","",""
"\Hyper-V Virtual Storage Device(*)\Throughput","",""